* PowderSprgsNews, 217469130 - Inactive
* LePoint, 8460572 - Active

* NewBayMedia, 108327492 - Active

* joongangilbo, 213591116 - Active

* njhotline, 15210410 - Active

* macleans, 16044997 - Active

* WORLD_mag, 16423253 - Active

* rtve, 26729931 - Active

* vpointworld, 116387548 - Active

* chemicalwatch, 73392641 - Active

* cronkitenews, 15446773 - Active

* FullMeasureNews, 3434177986 - Active

* BalkanInsight, 32836955 - Active

* CongressDigest, 282622234 - Active

* foxnewsradio, 11611052 - Active

* GrayDCnews, 3305610617 - Active

* berlinerzeitung, 149030786 - Active

* DailyCaller, 39308549 - Active

* EFEnoticias, 105082141 - Active

* pressfreedom, 18650093 - Active

* EWTN, 14790432 - Active

* Hearst, 22029071 - Active

* AviationWeek, 18148907 - Active

* FedNet, 2250858631 - Active

* ARDde, 556842058 - Active

* CU_Times, 58544863 - Active

* cnainenglish, 1133087436 - Active

* FedNewsRadio, 16977023 - Active

* mrt1web, 2188449788 - Active

* CCTV, 56644534 - Active

* 50frames, 2712970962 - Active

* al_arabia_tv_, 501253480 - Active

* BuzzFeedNews, 5695632 - Active

* caixin, 104146203 - Active

* FoodChemNews, 237314178 - Active

* CityLab, 331803536 - Active

* dwnews, 6134882 - Active

* DiverseIssues, 42950839 - Active

* ARDstudioWien, 2196132265 - Active

* ZDF, 57350105 - Active

* TweetHCN, 37989800 - Active

* barronsonline, 20449296 - Active

* gcr_alerts, 4824021381 - Active

* HearstTV, 72591229 - Active

* BGOV, 95506425 - Active

* idg_news, 14776670 - Active

* marketplaceAPM, 2416106558 - Active

* N24English, 2481602246 - Active

* NATV17, 1184679056 - Active

* YonhapNews, 31577674 - Active

* frontlinepbs, 16016427 - Active

* thecipherbrief, 3165393827 - Active

* FinancialReview, 19050000 - Active

* WPFWDC, 318629482 - Active

* pml_tray, 1307809273 - Active

* BuzzFeedNews, 1020058453 - Active

* Sankei_news, 562773398 - Active

* Rustavi2tv, 326699466 - Active

* HispanicOutlook, 102789361 - Active

* TLC, 21313855 - Active

* SpaceNews_Inc, 31098756 - Active

* mic, 139909832 - Active

* XHNews, 487118986 - Active

* TorontoStar, 12848262 - Active

* DallasBizNews, 26307302 - Active

* Univision, 40924038 - Active

* SvD, 26489325 - Active

* CyberScoopNews, 720664083767435264 - Active

* TOIIndiaNews, 29958928 - Active

* SenatePress, 2375533844 - Active

* canalplus, 326698989 - Active

* DailyHampGaz, 15361185 - Active

* TriceEdneyWire, 252393635 - Active

* industrydive, 216795782 - Active

* vicenews, 1630896181 - Active

* washingtonwatch, 15369049 - Active

* MLexclusive, 1341917431 - Active

* energyintel, 29952250 - Active

* RadioOne_inc, 20610995 - Active

* FTCWATCH, 349303517 - Active

* thomsonreuters, 14412844 - Active

* itn, 2723498863 - Active

* SPGMarketIntel, 76511168 - Active

* AgenciaTelam, 208413101 - Active

* HankyorehNews, 113545480 - Active

* SBGC2C, 741343677465890820 - Active

* dcexaminer, 18956073 - Active

* syracusedotcom, 16477702 - Active

* LlewellynKing2, 2789298739 - Active

* WestWingReport, 20182089 - Active

* rte, 1245699895 - Active

* NJAdvanceMedia, 2415135272 - Active

* theinclinepgh, 722795684496158720 - Active

* TPM, 14717197 - Active

* Spa_Eng, 3481182319 - Active

* TheAtlNews, 73190286 - Active

* NewsCPR, 476213099 - Active

* splinter_news, 121817564 - Active

* Kiplinger, 22042454 - Active

* France24_en, 25049056 - Active

* kuna_ar, 255455212 - Active

* radiofrance, 20230015 - Active

* people, 25589776 - Active

* EdibleAVL, 4484922880 - Active

* Militarydotcom, 14692385 - Active

* Medtech_Insight, 15905198 - Active

* GaleiTzahal, 49969238 - Active

* RTVi, 914032332 - Active

* Philanthropy, 10880202 - Active

* WashBlade, 19918986 - Active

* CanalRCN, 60613480 - Active

* ABC7News, 14897840 - Active

* statnews, 3290364847 - Active

* WMALDC, 16509580 - Active

* SSIReview, 50360725 - Active

* XHNorthAmerica, 805780479496568832 - Active

* ReligionEthics, 185759513 - Active

* nycfam, 23382447 - Active

* WTOP, 17906632 - Active

* thenation, 1947301 - Active

* SPGlobalPlatts, 19795822 - Active

* NPR, 5392522 - Active

* AirForceMag, 486811871 - Active

* NatGeoMag, 34305774 - Active

* rmpbs, 9979202 - Active

* wetatvfm, 20006234 - Active

* i24NEWS_EN, 1322420269 - Active

* thinkprogress, 55355654 - Active

* ABCaustralia, 16714896 - Active

* WorldJournalLV, 2180919026 - Active

* afpfr, 338985020 - Active

* CTVNews, 203123011 - Active

* TribuneAgency, 2176995662 - Active

* swissinfo_en, 43092938 - Active

* OGJOnline, 29479859 - Active

* TalkRadioNews, 107199576 - Active

* TheGeorgetownr, 117629272 - Active

* TheAtlantic, 35773039 - Active

* NOS, 7174972 - Active

* WNYC, 6576492 - Active

* ThisIsAmerica, 1665514478 - Active

* fujitv, 111651896 - Active

* cnni, 2097571 - Active

* wbaltv11, 23618466 - Active

* TaxNotes, 509108424 - Inactive

* agbizweek, 2372045940 - Active

* qz, 573918122 - Active

* TF1, 103821088 - Active

* CookPolitical, 191477653 - Active

* SRNNews, 339825421 - Active

* dpa_intl, 1171473138 - Active

* TIMA_ltd, 533309487 - Active

* SBSNOW, 113259902 - Active

* WJWeek, 20728061 - Active

* VoteramaDC, 246080041 - Active

* business, 34713362 - Active

* CBNNews, 26028938 - Active

* ENRnews, 19794121 - Active

* GuardianUS, 16042794 - Active

* hankyungmedia, 180664850 - Active

* EMPublications, 2289877968 - Active

* AISHealth, 33360563 - Active

* GovExec, 17066782 - Active

* MPRnews, 15965292 - Active

* BBC, 19701628 - Active

* AmosPress, 606625638 - Active

* KCET, 33726864 - Active

* Bloomberg, 104237736 - Active

* lm_linfo, 2572250028 - Active

* educationweek, 15147042 - Active

* usatodayDC, 7998482 - Active

* CBC, 16034244 - Active

* CourtHouseNews1, 744782119 - Active

* CdnPress, 43355844 - Active

* Internews, 17233335 - Active

* nikkei, 169480493 - Active

* errnews, 176842974 - Active

* Law360, 23448455 - Active

* jyllandsposten, 24665133 - Active

* HispanicLinkNS, 2583983234 - Active

* MTVNews, 40076725 - Active

* nature, 487833518 - Active

* CDCNewswire, 1490906214 - Active

* Capitol_Forum, 1961103174 - Active

* DerSPIEGEL, 17965092 - Active

* AP_Broadcast, 26526042 - Active

* LaVanguardia, 74453123 - Active

* jijicom, 143383314 - Active

* lajornadaonline, 35977487 - Active

* CMILANOTICIA, 67654599 - Active

* El_Universal_Mx, 16676396 - Active

* agripulse, 106816456 - Active

* cope_es, 9706822 - Active

* HDTrucking, 85359093 - Active

* freespeechtv, 21718571 - Active

* glamourmag, 19247844 - Active

* fcnp, 14835160 - Active

* France2tv, 31444568 - Active

* EpochTimes, 29097819 - Active

* AmerBanker, 26755480 - Active

* insideclimate, 14050550 - Active

* FAZ_Eil, 24273149 - Active

* CaracolTV, 117109734 - Active

* thedailybeast, 16012783 - Active

